sample_date,site_name,watercourse,freshwater_body_type,latitude,longitude,distance_to_conham_mi,upstream_of_conham,group_name,mncat_name,county,nitrate_mgL,phosphate_mgL,secchi_turbidity,rain_last_24h,pollution_sources,main_land_use,notes
2015-09-14,"Town Bridge, Cricklade, River Thames.",Other / unnamed,River,51.44476,-1.85475879999996,29.29,True,Thames WaterBlitz,Kennet and Trib,Wiltshire,1.5,0.75,None,,None,None,#NAME?
2015-09-14,Swill Brook,Swill Brook,River,51.637484,-1.92329139999993,29.46,True,Thames WaterBlitz,Gloucestershire and the Vale,Wiltshire,1.5,0.035,None,,None,None,#NAME?
2015-09-14,"River Thames, just before confluence with Swill Brook",Confluence With Swill Brook,River,51.638175,-1.92241299999995,29.51,True,Thames WaterBlitz,Gloucestershire and the Vale,Wiltshire,1.5,0.035,None,,None,None,River level low and light rain on the day
2015-10-26,Brislington brook,Brislington Brook,Stream,51.4438883,-2.54632922799993,0.5,False,HSBC UK,Avon Bristol and Somerset North Streams,Bristol,1.5,0.01,<14_NTU,,None,Urban_green_space,None
2016-03-05,Brislington brook,Brislington Brook,Stream,51.44401709,-2.54593117199994,0.48,False,HSBC UK,Avon Bristol and Somerset North Streams,Bristol,1.5,0.01,<14_NTU,,None,Urban_green_space,None
2016-03-26,Brislington Brook,Brislington Brook,Stream,51.4439574100001,-2.54623233299998,0.5,False,HSBC UK,Avon Bristol and Somerset North Streams,Bristol,1.5,0.01,<14_NTU,,None,Urban_green_space,None
2016-04-23,Brislington brook,Brislington Brook,Stream,51.4440241300001,-2.54591415599998,0.48,False,HSBC UK,Avon Bristol and Somerset North Streams,Bristol,1.5,0.01,<14_NTU,,None,Urban_green_space,None
2016-04-25,"Pill Bridge, Eastcourt",Other / unnamed,Stream,51.626088,-2.02705529999997,25.16,True,Thames WaterBlitz,Gloucestershire and the Vale,Wiltshire,1.5,0.035,None,,None,None,None
2016-04-25,Thames (first flush),Other / unnamed,Stream,51.6857790000001,-2.01810599999993,27.74,True,Thames WaterBlitz,Gloucestershire and the Vale,Gloucestershire,1.5,0.035,None,,None,None,None
2016-05-04,"Luckington Brook, Sherston",Luckington Brook,River,51.5665624900001,-2.21864727299993,15.99,True,Bristol Avon WaterBlitz,Avon Bristol and Somerset North Streams,Wiltshire,3.5,0.035,<14_NTU,,,Agriculture,River
2016-05-20,Brislington Brook,Brislington Brook,Stream,51.4428636600001,-2.55679047699994,0.96,False,HSBC UK,Avon Bristol and Somerset North Streams,Bristol,1.5,0.15,<14_NTU,,None,Urban_green_space,None
2016-06-04,MIDFORD BROOK,Midford Brook,Stream,51.3466295000001,-2.34355151799997,10.68,True,Bristol Avon WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,3.5,0.01,<14_NTU,,,Grassland_shrub,
2016-06-10,Freshfood Mill,Other / unnamed,Stream,51.3355720700001,-2.30839490899996,12.34,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.01,None,,None,Grassland_shrub,River Frome next to the old Freshford mill and near bridge
2016-06-10,Avoncliff bridge,River Avon,River,51.3388030900001,-2.28222386999994,13.13,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Wiltshire,1.5,0.01,None,,None,Grassland_shrub,The sample was taken from the River Avon near the bridge and downstream of the wier
2016-06-11,"Englishcombe, Bath",Other / unnamed,Stream,51.3662124800001,-2.40835472799995,7.7,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.075,None,,None,Agriculture,None
2016-06-11,Timsbury,Other / unnamed,Stream,51.3340359200001,-2.46939423799995,8.16,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.15,None,,None,Agriculture,It has been raining
2016-06-11,Ladyfield Brook  SN140TB,Ladyfield Brook,Stream,51.45955883,-2.14173853399996,16.96,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Wiltshire,1.5,0.01,None,,None,Urban_residential,"The Stream was running clear after a very heavy Storm  yesterday, during which it was very murky."
2016-06-12,River Avon,River Avon,River,51.3778150000001,-2.13621499999994,17.79,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Wiltshire,1.5,0.035,None,,None,Urban_green_space,It had been raining the previous day and on the morning of sampling.  The area sampled has quite a few ducks/swans in the area.
2016-06-14,River Avon,River Avon,River,51.4448989700001,-2.53481157099998,0.0,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Bristol,1.5,0.01,None,,None,Forest,None
2016-06-14,"Bristol Avon, Saltford Rowing Centre",River Avon,River,51.39820812,-2.44729791999993,4.96,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.01,None,,None,Agriculture,40m downstream from residential boat moorings.
2016-06-14,Feltham Brook,Feltham Brook,Stream,51.4800000000001,-2.41499999999996,5.7,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Gloucestershire,1.5,0.075,None,,None,Agriculture,None
2016-06-14,River Boyd,River Boyd,Stream,51.484,-2.39999999999998,6.4,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Gloucestershire,1.5,0.075,None,,None,Agriculture,None
2016-06-16,Burton Brook by Castle CombeGolf Club,Burton Brook,Stream,51.5038240000001,-2.23319999999995,13.6,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Wiltshire,1.5,0.075,None,,None,Grassland_shrub,None
2016-06-17,"Tanyard, Old Bristol Road, Keynsham",Other / unnamed,Stream,51.4184547900001,-2.51076271899996,2.1,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.01,None,,None,Other,"Junction of 3 water paths, stream feeds into River Avon downstream. Clean in appearance (often mallards swimming) Heavy rain/monsoon 2 days earlier"
2016-06-18,"West Brook, Weston,  Bath",West Brook,Stream,51.4,-2.39899999999994,6.62,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.01,None,,None,Other,Stream
2016-06-18,"Boat Jetty, River Avon, Batheaston, Bath BA1",River Avon,River,51.4097282000001,-2.31720179999996,9.68,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.01,None,,None,Other,it had been raining heavily the previous two days
2016-06-18,"Catherine Brook, Doctors Surgery, Batheaston, Bath BA1",Catherine Brook,Other,51.4058809200001,-2.31775030299997,9.73,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.01,None,,None,Other,it had been raining heavily the previous two days
2016-06-18,Lacock Ford,Other / unnamed,Stream,51.4168960000001,-2.12084099999993,17.94,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Wiltshire,1.5,0.01,None,,None,Other,This is a ford that goes through Lacock.  There was light drizzle on the day and some heavy rain during the days leading up to the sample.
2016-06-19,"Hollow Brook, Stowey Bottom",Hollow Brook,Stream,51.3379660000001,-2.58511899999996,7.7,False,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.01,None,,None,Agriculture,"Shallow stream, little recent rainfall"
2016-06-19,Monkton Combe,Other / unnamed,River,51.3531417500001,-2.33008844799997,10.86,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Wiltshire,1.5,0.15,None,,None,Agriculture,River
2016-06-19,Monkton Combe,Other / unnamed,River,51.3531417500001,-2.33008844799997,10.86,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Wiltshire,1.5,0.15,None,,None,Agriculture,River
2016-06-19,"Bristol Avon, upstream of Nestle Factory, Staverton",River Avon,River,51.3482115100001,-2.19486236599994,16.1,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Wiltshire,1.5,0.35,None,,None,Agriculture,None
2016-06-20,"The Malago, Manor Woods",Malago,River,51.4191402000001,-2.61538689999998,3.9,False,Bristol Avon WaterBlitz,Avon Bristol and Somerset North Streams,Bristol,3.5,0.75,<14_NTU,,,Urban_green_space,
2016-06-20,"River Trym, Trymside Open Space",River Trym,River,51.4992608000001,-2.60188059999996,4.74,False,Bristol Avon WaterBlitz,Avon Bristol and Somerset North Streams,Bristol,3.5,0.35,<14_NTU,,,Urban_green_space,
2016-06-20,Stoke Brook,Stoke Brook,Stream,51.5221507000001,-2.55188979999997,5.39,False,Bristol Avon WaterBlitz,Avon Bristol and Somerset North Streams,Gloucestershire,0.75,0.075,>240_NTU,,"Residential_discharge,Urban_road_runoff",Urban_residential,
2016-06-20,Dundas Aqueduct,Other / unnamed,River,51.3613701,-2.31047445899998,11.26,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Wiltshire,1.5,0.15,None,,None,Agriculture,River
2016-06-20,Tellisford,Other / unnamed,River,51.29893265,-2.28019952799997,14.91,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Wiltshire,1.5,0.01,None,,None,Agriculture,None
2016-06-20,Hardenhuish Lane,Other / unnamed,Stream,51.4678220000001,-2.13590399999993,17.25,True,Bristol Avon WaterBlitz,Avon Bristol and Somerset North Streams,Wiltshire,3.5,0.15,<14_NTU,,,Urban_green_space,
2016-06-21,"White Bridge, Newton Brook",Newton Brook,Stream,51.3654781400001,-2.41777904099996,7.45,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.01,None,,None,Agriculture,None
2016-06-21,River Avon,River Avon,River,51.4591,-2.11681999999996,18.02,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Wiltshire,1.5,0.15,None,,None,Other,Weir open so river fast flowing and turbid but water itself is clear
2016-06-22,"Bristol Avon, Conham",River Avon,River,51.4449164000001,-2.53483772299995,0.0,False,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Gloucestershire,1.5,0.01,None,,None,Forest,"Light rain on the day, heavy rain for the previous week."
2016-06-22,Corston Brook,Corston Brook,Stream,51.3740695700001,-2.44379281999994,6.27,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.035,None,,None,Other,Had been raining on this day
2016-06-22,Millstream,Other / unnamed,Stream,51.3643419700001,-2.40780293899996,7.8,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.075,None,,None,Other,stream covered over with wild vegetation
2016-06-22,English Combe Stream,English Combe Stream,Stream,51.3666420700001,-2.40299105599996,7.84,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.075,None,,None,Other,Had been raining on this day
2016-06-22,Stradbrook,Other / unnamed,Stream,51.2419032000001,-2.37955389999996,15.54,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.01,None,,None,Forest,"Light rain on the day, heavy rain throughout the past week. Stream runs alongside a footpath at the sampling site."
2016-06-22,Coombe stream,Coombe Stream,Stream,51.6419252100001,-2.34117150299994,15.96,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Gloucestershire,1.5,0.01,None,,None,Agriculture,None
2016-06-22,Luckington Brook,Luckington Brook,River,51.5692291500001,-2.21584796899998,16.19,True,Bristol Avon WaterBlitz,Avon Bristol and Somerset North Streams,Wiltshire,3.5,0.75,<14_NTU,,,Grassland_shrub,
2016-06-22,Sherston Avon near Stretchline,River Avon,River,51.5691120000001,-2.21552699999995,16.19,True,Bristol Avon WaterBlitz,Avon Bristol and Somerset North Streams,Wiltshire,7.5,0.75,<14_NTU,,,Grassland_shrub,
2016-06-22,"River Frome, Feltham Lane Bridge",River Frome,River,51.21676539,-2.30749888599996,18.57,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.075,None,,None,Agriculture,"Part of a historically overdeepened channel with improved floodplain grassland (silage/slurry) either side with unstable clay banks dominated by stinging nettle (highly eutrophicated environment).. However, the land still floods during very high rainfall"
2016-06-23,"Bristol Avon at Riverside Cottages, Hanham",River Avon,River,51.4319123600001,-2.52245128199996,1.04,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Bristol,1.5,0.01,None,,None,Other,None
2016-06-23,"Siston Brook, near Bristol Avon",Siston Brook,Stream,51.4302936300001,-2.48352169999993,2.43,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Gloucestershire,1.5,0.01,None,,None,Agriculture,"Land use on both sides of the stream is pasture, with cattle grazing and having access to the stream at the sample site."
2016-06-23,River Boyd near Bristol Avon,River Boyd,River,51.4176595800001,-2.46051639299998,3.71,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Gloucestershire,1.5,0.01,None,,None,Grassland_shrub,None
2016-06-23,"rivee frome, frampton cotterell",River Frome,River,51.5350000000001,-2.48099999999994,6.64,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Gloucestershire,1.5,0.075,None,,None,Grassland_shrub,River
2016-06-23,spring by Lam Brook at BA5/19,Spring By Lam Brook,Other,51.4320000000001,-2.37699999999995,6.85,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.01,None,,None,Agriculture,Other
2016-06-23,Weston Park,Other / unnamed,Stream,51.3941980000001,-2.38105599999994,7.49,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.01,None,,None,Urban_green_space,None
2016-06-23,rockhampton,Other / unnamed,River,51.6440000000001,-2.50999999999993,13.8,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Gloucestershire,1.5,0.075,None,,None,Agriculture,None
2016-06-23,Ozleworth Brook at Lower Barnes Bridge,Ozleworth Brook,River,51.636058,-2.39008169999994,14.6,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Gloucestershire,1.5,0.15,None,,None,Grassland_shrub,Small river/large stream running clear at summer (low) level
2016-06-23,Little Avon below Avening Green,River Avon,River,51.6453880000001,-2.42195679999998,14.68,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Gloucestershire,1.5,0.35,None,,None,Grassland_shrub,River running clear at summer (low) levels
2016-06-23,little Avon river,River Avon,River,51.6870000000001,-2.46199999999993,17.02,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Gloucestershire,1.5,0.15,None,,None,Grassland_shrub,River
2016-06-23,"River Frome, Jensen Button Bridge, Frome town centre",River Frome,River,51.2328628700001,-2.32145193099996,17.3,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.035,None,,None,Urban_residential,"River Frome in an artificial, deepened, trapezoidal channel with car park/roads/residential adjacent. There are CSOs upstream but at the time of sampling they were not flowing."
2016-06-23,"The Dippy Culvert, Adderwell, Frome",River Frome,Stream,51.22258308,-2.31698657699997,18.01,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.035,None,,None,Urban_green_space,"An open concrete culvert carrying the flow of a spring originating about 1 km upstream plus urban runoff. The culvert also receives raw sewage/grey water, possibly from a misconnection in the vicinity of Culver Hill or flats at Austin Close. There was no"
2016-06-24,"Woollard, Candlestick Brook",Candlestick Brook,Stream,51.377458,-2.52868229999996,4.66,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.01,None,,None,Agriculture,"Shallow stream, little recent rainfall"
2016-06-24,"Publow Bridge, River Chew",River Chew,River,51.375594,-2.54302799999994,4.8,False,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.01,None,,None,Agriculture,"River below bridge and former weir, little recent rainfall"
2016-06-24,"Bye Mills, River Chew",River Chew,River,51.3719090000001,-2.56166029999997,5.17,False,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.035,None,,None,Grassland_shrub,Little recent rainfall
2016-06-24,"Jubilee Park, Chipping Sodbury",Other / unnamed,River,51.53948818,-2.40028604899993,8.73,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Gloucestershire,1.5,0.01,None,,None,Urban_residential,None
2016-06-24,"River Frome, Old Sodbury",River Frome,River,51.5276160600001,-2.36253797999996,9.36,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Gloucestershire,1.5,0.01,None,,None,Agriculture,None
2016-06-24,Wellow Brook,Wellow Brook,River,51.3212792100001,-2.37231731399993,11.05,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.075,None,,None,Agriculture,None
2016-06-24,"Brook End, Luckington, Wiltshire",Other / unnamed,River,51.55939054,-2.23185177799996,15.25,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Wiltshire,1.5,0.35,None,,None,Other,"Part of the Sherston Avon that originates on the Badminton Estate nearby and then joins the Crow Down Springs tributary at Sherston, before flowing on to Malmesbury, Wiltshire.  This sample was taken at Brook End Ford at Luckington.  Rain had fallen earli"
2016-06-24,Stanbridge,Other / unnamed,River,51.57351959,-2.23183929899994,15.77,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Wiltshire,1.5,0.75,None,,None,Grassland_shrub,"A small river, the Sherston Avon, rising at Crow Down Springs and proceeding via Stanbridge to join the Badminton Avon at The Mill, Brook Hill, Sherston, and thereon to Malmesbury, Wiltshire.  Owing to the recent wet weather it is flowing well.  There was"
2016-06-24,Biss Meadow,River Biss,River,51.3175231100001,-2.20117066999995,16.86,True,Bristol Avon WaterBlitz,Avon Bristol and Somerset North Streams,Wiltshire,7.5,0.01,,,,Urban_green_space,
2016-06-24,"Abberd Brook stepping stones, near Page Close",Abberd Brook,Stream,51.43949051,-1.99731795199995,23.15,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Wiltshire,1.5,0.075,None,,None,Other,"This site occasionally sometimes has litter dropped in it, but had been mostly cleared, leaving only one tiny item, and the grassy banks had been cut back.  At this point the brook runs between tarmacadam footpaths, with occasional bridges across and the"
2016-06-24,"River Marden, 6 Round House, Calne, SN11 0BE",Other / unnamed,River,51.4298789100001,-1.99198007599995,23.4,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Wiltshire,1.5,0.035,None,,None,Other,North side - agricultural livestock land with a native hedgerow area between the river and the fields.  South side rural residential gardens.
2016-06-25,Conham River. Near Conham Picnic area/Parking,Other / unnamed,River,51.447321,-2.53652899999997,0.19,False,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Bristol,1.5,0.075,None,,None,Forest,None
2016-06-25,Brislington Brook St Annes' Wood,Brislington Brook,Stream,51.4499010000001,-2.54484199999996,0.55,False,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Bristol,1.5,0.15,None,,None,Forest,None
2016-06-25,Crews Hole River,Other / unnamed,River,51.453291,-2.53738499999997,0.59,False,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Bristol,1.5,0.075,None,,None,Urban_residential,None
2016-06-25,"stream running to river Frome, Eastville Park",River Frome,Stream,51.4792180100001,-2.55058497199997,2.47,False,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Bristol,1.5,0.01,None,,None,Urban_green_space,Heavy rain just beforehand so the water was moving quickly and was deep where tested although was shallow just upstream from test-site. The test site was just after a small waterfall hence the depth of water. Water quality seemed very variable in local ar
2016-06-25,River Chew at Keynsham Memorial Park,River Chew,River,51.4166224800001,-2.49412447199995,2.62,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.075,None,,None,Urban_green_space,None
2016-06-25,Blaise Castle - Hazel Brook,Hazel Brook,Stream,51.50215789,-2.63387560799993,5.82,False,Heathrow,Avon Bristol and Somerset North Streams,Bristol,1.5,0.15,None,,None,Urban_green_space,"Heavy rain the previous day. Plenty of life in the stream, leaches, Cased Cadis, Olives, Fresh Water shrimp. Photo take slightly up stream as forgot to take a photo during sampling"
2016-06-25,Broadmead Brook -Fosseway bridge,Broadmead Brook,Stream,51.4910310000001,-2.25589999999994,12.42,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Wiltshire,1.5,0.01,None,,None,Grassland_shrub,None
2016-06-25,"River Bybrook, Slaughterford",Other / unnamed,River,51.4630112500001,-2.23452227499996,12.99,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Wiltshire,1.5,0.01,None,,None,Agriculture,Fast Flowing. Rain earlier in the day.
2016-06-25,"Iford Bridge, River Frome",River Frome,River,51.328533,-2.28911519999997,13.3,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.035,None,,None,Agriculture,None
2016-06-25,"Great Elm Bridge, Mells Stream",Mells Stream,Stream,51.24114,-2.36153349999995,15.94,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.01,None,,None,Forest,None
2016-06-25,"Lullington Mill, River Frome",River Frome,River,51.2628500000001,-2.30618069999997,15.98,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.01,None,,None,Agriculture,None
2016-06-25,Hardenhuish Brook,Hardenhuish Brook,Stream,51.4661080000001,-2.13417299999998,17.31,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Wiltshire,1.5,0.035,None,,None,Urban_green_space,"Light rain earlier, flow shallow but fast."
2016-06-25,"Nunney Cross, Nunney Brook",Nunney Brook,Stream,51.2103210000001,-2.37742289999994,17.57,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.01,None,,None,Urban_residential,None
2016-06-25,Henhambridge Brook,Henhambridge Brook,Stream,51.1630000000001,-2.18299999999994,24.7,True,Thames WaterBlitz,Avon Hampshire,Wiltshire,1.5,0.035,None,,None,Agriculture,None
2016-06-25,"Iron Mill, River Frome",River Frome,River,51.15,-2.18569999999994,25.35,True,Thames WaterBlitz,Avon Hampshire,Wiltshire,1.5,0.01,None,,None,Agriculture,None
2016-06-26,"River Avon, south side at St Anne's, Bristol",River Avon,River,51.4552537600001,-2.54100680399995,0.77,False,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Bristol,1.5,0.01,None,,None,Urban_residential,"It was spitting with rain, was quite difficult to find a spot where we could get to the water's edge, so ended up sampling from on a spillway - but the sample is of the river water. Note there was no flow coming from the spill pipes."
2016-06-26,"River Chew, Shrowle, East Harptree",River Chew,Stream,51.3002877000001,-2.60734319699998,10.47,False,Bristol Avon WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,3.5,0.01,,,,Agriculture,Stream
2016-06-26,Emley Lane,Other / unnamed,River,51.3437849100001,-2.73790969499993,11.2,False,South Cumbria Rivers Trust,Avon Bristol and Somerset North Streams,Somerset,1.5,0.01,<14_NTU,,Other,Agriculture,None
2016-06-28,River Wellow -Ford,Wellow Brook,River,51.3227538000001,-2.36689539999998,11.12,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.01,None,,None,Other,None
2016-06-28,River Frome - Packhorse Bridge1,River Frome,River,51.2999432,-2.28200089999996,14.8,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.15,None,,None,Agriculture,Still coloured following rain 3 days previously
2016-06-28,Biss Meadows upstream,River Biss,River,51.3126441700001,-2.19252155199996,17.36,True,Bristol Avon WaterBlitz,Avon Bristol and Somerset North Streams,Wiltshire,3.5,0.035,,,,Urban_green_space,
2016-06-29,Bathampton Meadows Stream alongside Mill Lane,Bathampton Meadows Stream,Stream,51.40127353,-2.32506751999995,9.53,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.01,None,,None,Agriculture,Heavy rain at time of test.  Stream faster flowing than usual.  Possibly receiving run off from nearby roads.  Stream empties into Bristol Avon just upriver of Mill Lane Toll Bridge.
2016-06-30,River Frome Snuff Mills steps,River Frome,River,51.48656751,-2.54183292399995,2.9,False,Heathrow,Avon Bristol and Somerset North Streams,Bristol,1.5,0.01,None,,None,Urban_green_space,Kingfisher and swifts flying
2016-07-09,"Brislington Brook, St Annes Bristol",Brislington Brook,River,51.4483461300001,-2.54513204099993,0.51,False,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Bristol,1.5,0.01,None,,None,Forest,river within urban nature reserve.
2016-07-09,"Brislington Brook, St Annes Bristol",Brislington Brook,River,51.4480724000001,-2.54565179999997,0.52,False,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Bristol,1.5,0.01,None,,None,Forest,river within urban nature reserve.
2016-07-09,"midford brook, somerset",Midford Brook,River,51.3466295000001,-2.34355151799997,10.68,True,Bristol Avon WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,7.5,0.01,<14_NTU,,,Grassland_shrub,
2016-07-22,"Redford Water, Mill Lane, Corsley nr Frome",River Frome,Stream,51.2092071700001,-2.27906547099997,19.67,True,Thames WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,1.5,0.35,None,,None,Agriculture,Sample site is downstream of Longleat where there are a large number of exotic animals kept.
2016-08-14,midford brook,Midford Brook,Stream,51.3466295000001,-2.34355151799997,10.68,True,Bristol Avon WaterBlitz,Avon Bristol and Somerset North Streams,Somerset,0.1,0.01,<14_NTU,,,Grassland_shrub,
2016-08-21,Brislington brook,Brislington Brook,Stream,51.4438457700001,-2.54627860199997,0.5,False,HSBC UK,Avon Bristol and Somerset North Streams,Bristol,1.5,0.01,<14_NTU,,None,Urban_green_space,Stream
